experiment_id,condition,participant_id,participant_age,participant_gender,tech_proficiency,ordering_frequency,emotional_state,task_completion_time,error_count,decision_changes,recommendations_shown,recommendations_accepted,recommendation_acceptance_rate,nasa_tlx_mental_demand,nasa_tlx_physical_demand,nasa_tlx_temporal_demand,nasa_tlx_performance,nasa_tlx_effort,nasa_tlx_frustration,nasa_tlx_overall,sus_total,satisfaction_overall,satisfaction_ease_of_use,satisfaction_recommendation_quality,satisfaction_personalization,satisfaction_decision_confidence,satisfaction_enjoyment,satisfaction_return_intention,timestamp
P001_emotion_responsive_1,emotion_responsive,P001,27,female,intermediate,medium,tired,,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:33:47.502197
P001_emotion_responsive_2,emotion_responsive,P001,27,female,intermediate,medium,sad,,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:33:49.161121
P001_emotion_responsive_3,emotion_responsive,P001,27,female,intermediate,medium,happy,,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:33:50.834051
P001_emotion_responsive_4,emotion_responsive,P001,27,female,intermediate,medium,angry,,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:33:51.922675
P001_emotion_responsive_5,emotion_responsive,P001,27,female,intermediate,medium,stressed,,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:33:54.142993
P001_traditional_1,traditional,P001,27,female,intermediate,medium,neutral,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:33:56.764633
P001_traditional_2,traditional,P001,27,female,intermediate,medium,stressed,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:33:57.940853
P001_traditional_3,traditional,P001,27,female,intermediate,medium,stressed,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:34:00.903173
P001_traditional_4,traditional,P001,27,female,intermediate,medium,surprised,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:34:02.620134
P001_traditional_5,traditional,P001,27,female,intermediate,medium,stressed,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:34:03.717836
P002_emotion_responsive_1,emotion_responsive,P002,28,male,basic,low,angry,,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:34:06.451383
P002_emotion_responsive_2,emotion_responsive,P002,28,male,basic,low,surprised,,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:34:08.120285
P002_emotion_responsive_3,emotion_responsive,P002,28,male,basic,low,stressed,,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:34:09.801367
P002_emotion_responsive_4,emotion_responsive,P002,28,male,basic,low,stressed,,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:34:11.741865
P002_emotion_responsive_5,emotion_responsive,P002,28,male,basic,low,sad,,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:34:12.895421
P002_traditional_1,traditional,P002,28,male,basic,low,stressed,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:34:15.396403
P002_traditional_2,traditional,P002,28,male,basic,low,surprised,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:34:16.469312
P002_traditional_3,traditional,P002,28,male,basic,low,sad,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:34:17.753675
P002_traditional_4,traditional,P002,28,male,basic,low,surprised,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:34:18.816082
P002_traditional_5,traditional,P002,28,male,basic,low,surprised,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:34:21.325783
P003_emotion_responsive_1,emotion_responsive,P003,26,female,intermediate,medium,tired,,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:34:24.324159
P003_emotion_responsive_2,emotion_responsive,P003,26,female,intermediate,medium,sad,,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:34:25.733004
P003_emotion_responsive_3,emotion_responsive,P003,26,female,intermediate,medium,happy,,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:34:27.356201
P003_emotion_responsive_4,emotion_responsive,P003,26,female,intermediate,medium,sad,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:34:30.300646
P003_emotion_responsive_5,emotion_responsive,P003,26,female,intermediate,medium,surprised,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:34:33.025660
P003_traditional_1,traditional,P003,26,female,intermediate,medium,neutral,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:34:35.948932
P003_traditional_2,traditional,P003,26,female,intermediate,medium,sad,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:34:38.353858
P003_traditional_3,traditional,P003,26,female,intermediate,medium,happy,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:34:39.993725
P003_traditional_4,traditional,P003,26,female,intermediate,medium,neutral,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:34:41.754658
P003_traditional_5,traditional,P003,26,female,intermediate,medium,happy,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:34:42.838524
