Participant_ID,Phase,Mental_Demand,Physical_Demand,Temporal_Demand,Performance,Effort,Frustration,SUS_Score,Overall_Satisfaction,Ease_of_Use,Recommendation_Quality,Agent_Helpfulness
P001,A,18,1,4,5,19,18,39.0,2,7,7,
P002,B,17,14,2,1,19,18,41.5,7,7,1,2
P003,A,18,15,2,18,15,19,36.5,7,3,4,
P004,A,3,4,7,18,18,2,37.5,1,2,7,
P005,A,16,12,2,10,7,9,24.5,7,1,5,
P006,A,9,6,4,4,5,5,39.5,5,3,3,
P007,A,6,5,4,10,20,9,21.0,7,3,5,
P008,B,12,12,8,15,13,8,15.0,7,7,7,2
P009,B,6,14,12,19,6,10,40.0,2,2,5,3
P010,A,3,11,3,9,9,14,34.0,6,5,1,
P011,A,17,8,17,13,19,4,32.0,3,4,5,
P012,B,8,15,10,10,12,3,46.0,2,7,1,4
P013,A,17,2,13,13,18,14,32.0,7,4,4,
P014,B,5,2,5,20,11,7,21.0,2,6,5,6
P015,B,17,14,10,3,15,14,25.5,1,2,2,7
P016,B,18,4,5,8,18,7,44.5,2,6,5,6
P017,B,7,9,1,2,12,10,46.0,2,5,6,4
P018,A,9,2,3,10,19,17,39.0,1,2,5,
P019,B,18,14,12,18,17,1,28.0,2,7,4,3
P020,B,3,14,14,3,14,20,34.5,1,7,1,5
P021,B,4,10,15,17,4,17,35.0,2,3,6,2
P022,B,10,5,11,15,13,7,38.5,1,7,6,2
P023,A,3,10,18,10,1,20,36.0,3,5,4,
P024,A,13,1,18,2,17,2,25.5,3,6,1,
P025,B,1,4,7,16,15,14,44.0,1,4,4,1
P026,B,6,9,7,12,17,18,32.0,5,1,5,7
P027,A,10,8,6,10,1,18,44.5,3,1,4,
P028,B,12,11,15,11,14,3,29.5,5,6,6,1
P029,B,17,8,16,4,7,15,30.5,3,3,3,3
P030,A,10,10,17,16,3,4,30.0,1,1,5,
P031,A,15,9,5,5,18,11,41.5,5,4,2,
P032,B,7,14,18,9,9,15,25.0,7,7,1,5
P033,B,20,12,5,16,6,15,40.0,2,1,4,3
P034,B,4,13,3,19,16,6,26.0,5,3,7,6
P035,A,4,14,5,1,20,20,28.0,3,2,4,
P036,A,11,8,14,13,17,9,39.0,1,2,4,
P037,A,15,14,2,3,13,15,28.5,1,6,6,
P038,A,19,9,3,10,4,11,48.5,5,3,4,
P039,A,1,4,1,11,10,11,26.0,5,2,6,
P040,A,12,6,9,3,8,16,38.0,5,3,2,
P041,B,10,2,9,1,13,9,31.0,4,1,3,1
P042,A,10,6,16,16,17,4,28.5,4,3,6,
P043,B,4,10,15,20,14,11,26.0,7,2,1,7
P044,A,15,3,8,9,3,14,36.5,4,4,1,
P045,B,1,9,8,19,11,6,48.0,1,4,4,5
P046,B,8,12,18,1,18,9,30.5,2,6,1,3
P047,B,4,12,4,5,7,14,29.5,5,7,4,4
P048,B,18,14,9,10,3,8,15.5,5,3,2,3
P049,B,19,2,17,8,10,3,24.5,3,5,5,7
P050,B,9,8,13,11,12,12,39.0,6,6,4,2
